start,end,text
00:00,00:01,開始拍攝喔
00:01,00:01,好
00:01,00:02,開始
00:02,00:03,來一張
00:05,00:06,這是什麼啊
00:07,00:08,熊熊對不對
00:10,00:11,要摸摸嗎( 寶寶手指熊)
00:13,00:14,摸摸牠的肚子( 寶寶手摸熊)
00:16,00:17,戳戳戳( 寶寶手摸熊)
00:19,00:19,戳牠的肚子( 寶寶手摸熊)
00:19,00:20,戳戳戳戳( 寶寶手摸熊)
00:21,00:22,戳戳戳( 寶寶手摸熊)
00:23,00:24,你要幫我翻頁嗎( 寶寶翻頁)
00:27,00:28,好
00:28,00:29,熊熊
00:29,00:31,大耳朵的大象在哪裡
00:31,00:33,在積木的後面嗎( 寶寶翻開小頁)
00:37,00:38,哇大象耶
00:39,00:40,你要摸牠嗎
00:41,00:42,輕輕摸好不好
00:44,00:45,輕輕摸
00:45,00:46,你再去戳戳( 媽媽拿寶寶手摸大象)
00:46,00:47,戳戳戳( 媽媽拿寶寶手摸大象)
00:47,00:48,戳戳戳
00:48,00:49,戳戳戳
00:52,00:53,摸摸( 媽媽拿寶寶手摸大象)
00:53,00:54,小鬆摸( 媽媽拿寶寶手摸大象)
00:54,00:55,輕輕摸( 媽媽拿寶寶手摸大象)
00:55,00:56,輕輕摸( 媽媽拿寶寶手摸大象)
00:57,00:58,對
00:58,00:59,輕輕摸
00:59,01:00,輕輕摸
01:00,01:01,輕輕摸( 寶寶關上小頁)
01:05,01:06,喔大象在哪裡欸( 寶寶翻開小頁)
01:09,01:10,下一個是什麼( 寶寶翻開小頁)
01:11,01:12,翻頁
01:12,01:13,不要
01:13,01:14,你喜歡大象
01:15,01:16,喔好長長的鼻子( 寶寶摸大象)
01:19,01:20,大象
01:24,01:25,恩這是什麼( 寶寶關上小頁)
01:25,01:26,積木( 寶寶翻開小頁)
01:29,01:30,翻頁喔 不要 ( 寶寶翻開小頁)
01:30,01:31,你喜歡大象嗎( 寶寶摸大象)
01:33,01:34,
01:34,01:35,
01:35,01:36,
01:38,01:39,大象喔
01:43,01:44,下一個是什麼呢
01:46,01:47,下一個是什麼
01:48,01:49,可愛的小海馬在帽子的後面嗎
01:51,01:52,這是橘色的帽子
01:52,01:53,找到了( 寶寶翻開小頁)
01:55,01:56,你還要輕輕摸牠嗎( 寶寶摸馬)
01:56,01:58,小馬嗎( 媽媽拿寶寶手摸馬)
02:00,02:02,輕輕摸
02:02,02:04,輕輕摸
02:04,02:06,你對小馬沒興趣
02:06,02:08,那我們翻下一個
02:08,02:10,這個是什麼
02:10,02:12,消防隊員
02:12,02:14,消防車
02:14,02:16,紅色的消防車啊( 寶寶手指書)
02:18,02:20,後面有什麼 這裡這裡
02:20,02:22,後面有什麼
02:22,02:24,後面有什麼( 寶寶翻開小頁)
02:24,02:26,哇亮晶晶的耶
02:26,02:28,亮晶晶的是什麼呢( 寶寶手指消防隊員)
02:28,02:30,他們是消防隊員( 寶寶手指書)
02:32,02:34,藍色的
02:34,02:36,喔咿( 寶寶關上小頁)
02:36,02:38,喔咿( 寶寶翻頁)
02:40,02:42,彩色的
02:42,02:44,小火車在哪裡
02:44,02:46,火車
02:50,02:52,嘟嘟
02:52,02:54,起恰
02:54,02:56,起恰
02:56,02:58,火車在哪
02:58,03:00,火車( 寶寶翻開小頁)
,,哇 找到了
,,嘟嘟起恰起恰( 寶寶摸火車)
,,火車
03:00,03:02,你的灰車對不對
03:04,03:06,後面是什麼( 寶寶翻頁)
03:06,03:08,嗯
03:08,03:10,毛茸茸的小熊在哪裡( 寶寶翻開小頁)
03:10,03:12,在大熊的後面( 寶寶手指熊)
03:12,03:14,小熊在這裡啊
03:16,03:18,大熊跟小熊在抱抱
03:18,03:20,我們也在抱抱
03:22,03:24,嗯
03:24,03:26,結束了
03:26,03:28,你還要再一次嗎( 寶寶點頭)
03:28,03:30,還要再一次喔
03:30,03:32,小熊熊( 寶寶翻頁)
03:32,03:34,你喜歡大象是嗎( 寶寶翻開小頁)
03:36,03:38,大象喔( 寶寶手指大象)
03:38,03:40,灰色的大象( 寶寶手指大象)
03:40,03:42,毛茸茸的大象( 寶寶手指大象)
03:42,03:44,你喜歡這個毛茸茸( 寶寶手指大象點頭)
03:44,03:46,嗯
03:46,03:48,你喜歡喔
03:48,03:50,大耳朵的大象
03:50,03:52,在積木的後面呢( 寶寶手摸大象)
03:52,03:54,
03:54,03:56,對啊
03:56,03:58,這個也是大象( 寶寶關上小頁)
03:58,04:00,嗯( 寶寶翻頁)
04:00,04:02,帽子
04:02,04:04,帽子的下面是小馬( 寶寶翻開小頁)
04:04,04:06,你喜歡小馬嗎( 寶寶手指馬)
04:06,04:08,你比較喜歡大象( 寶寶關上小頁)
04:08,04:10,直接翻頁( 寶寶翻頁)
04:10,04:12,紅色的( 寶寶手指車)
04:12,04:14,消防車( 寶寶翻開小頁)
04:14,04:16,那你知道後面是什麼嗎( 寶寶手指消防員)
04:16,04:18,亮晶晶的( 寶寶手指書)
04:18,04:20,藍色亮晶晶的
04:20,04:22,對啊
04:22,04:24,消防車會喔咿喔咿
04:24,04:26,喔咿喔咿( 寶寶關上小頁後翻頁)
04:28,04:30,彩色的小火車( 寶寶手指火車)
04:30,04:32,在窗簾的後面呢( 寶寶翻開小頁)
04:32,04:34,小火車
04:34,04:36,噗噗
04:36,04:38,起恰起恰( 寶寶手指火車)
04:38,04:40,的小火車啊
04:40,04:42,這個是小寶寶( 寶寶手指寶寶)
04:42,04:44,他在做什麼( 寶寶手指寶寶)
04:44,04:46,他不知道在做什麼
04:46,04:48,還是我們的
04:48,04:50,小寶寶在做什麼( 寶寶手指指寶寶)
04:50,04:52,嗯( 寶寶手指書)
04:52,04:54,黃色( 寶寶手指書)
04:54,04:58,藍色的( 寶寶手指書)
04:58,05:00,黃色( 寶寶手指書)
05:00,05:02,小寶寶( 寶寶手指書)
05:02,05:04,小寶寶( 寶寶手指書)
05:04,05:06,黃色藍色( 寶寶手指書)
05:06,05:08,小寶寶( 寶寶手指書)
05:08,05:10,嗯輪子( 寶寶手指書)
05:14,05:16,火車( 寶寶手指書)
05:16,05:18,( 寶寶手指書)
05:18,05:20,有藍色跟( 寶寶手指書)
05:20,05:22,紅色的輪子( 寶寶手指書)
05:22,05:24,藍色( 寶寶手指書)
05:24,05:30,黃色
05:30,05:32,嗯
05:32,05:34,嗯( 寶寶手指書)
05:34,05:36,黃色( 寶寶手指書)
05:36,05:38,紅色